;Chapter Sec;Chapter ID;Chapter Type;Chapter Requirement;Function Sec;Function ID;Function Type;Function Requirement;Hazard Sec;Hazard ID;Hazard Type;Hazard Requirement;Cause Sec;Cause ID;Cause Type;Cause Requirement;Measure Sec;Measure ID;Measure Type;Measure Requirement;Measure Description
252;4.12;563438;Chapter;Move main unit;4.12.5;564083;Function;Maintain stable system position;4.12.5.1;564085;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.5.1.1;564084;Cause;System moves unintentionally during standstill;4.12.5.1.1.1;564086;Measure;Braking force;The braking force needs to be sufficient to hold the system in standstill on an inclined plane of 5Â° in non-transport position (worst case position of axles), and of 10Â° in transport position.   The braking force needs to be sufficient to hold the system in standstill during 3D.   Â During any stopping scenario of the mecanum platform, the orbital and angular axle shall not moveÂ more than +/- 5Â°Â (brakes overridden due to inertia).   Â Hint: Definition of ramp inclinations (5Â° and 10Â°) were in alignment with IEC 60601-1, clause 9.   4.   2.   2
161;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.3;563632;Hazard;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);4.12.1.3.3;563671;Cause;System moves in wrong direction due to technical error (intentional movement): force handles;4.12.1.3.3.1;563672;Measure;Deactivate whole chassis handle when error in movement activation is detected;When an error in the movement activation circuit in one side of the chassis handle is detected, movement activation from the whole chassis handle shall be inhibited.   Â Note: This is checked during startup.   
85;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.6;563636;Cause;User does not pay attention to obstacles in the movement path during movement (intended): User reaction, uncontrolled speed, etc;4.12.1.1.6.2;563639;Measure;Reference - Maximum overtravel values;<XREF>562465</XREF>
86;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.6;563636;Cause;User does not pay attention to obstacles in the movement path during movement (intended): User reaction, uncontrolled speed, etc;4.12.1.1.6.3;563640;Measure;Reference - System speed limits;<XREF>563486</XREF>
87;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.6;563636;Cause;User does not pay attention to obstacles in the movement path during movement (intended): User reaction, uncontrolled speed, etc;4.12.1.1.6.4;563641;Measure;Reference - Collision detection;<XREF>563490</XREF>
88;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.6;563636;Cause;User does not pay attention to obstacles in the movement path during movement (intended): User reaction, uncontrolled speed, etc;4.12.1.1.6.5;563642;Measure;Reference - Collision detection at rear side of the chassis;<XREF>563491</XREF>
89;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.6;563636;Cause;User does not pay attention to obstacles in the movement path during movement (intended): User reaction, uncontrolled speed, etc;4.12.1.1.6.6;563643;Measure;Reference - Warning - General risk of collisions;<XREF>563493</XREF>
90;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.6;563636;Cause;User does not pay attention to obstacles in the movement path during movement (intended): User reaction, uncontrolled speed, etc;4.12.1.1.6.7;563644;Measure;Reference - Emergency stop at every point of motorized movement activation;<XREF>562345</XREF>
91;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.7;563674;Cause;System does not move according to control parameters: Resulting system speed too high due to technical error;4.12.1.1.7.1;563676;Measure;Reference - System speed limits;<XREF>563486</XREF>
92;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.8;563679;Cause;System does not move according to control parameters: System accelerates hazardously (e. g. max. possible by design);4.12.1.1.8.1;563680;Measure;System acceleration and deceleration limits;The system shall limit the acceleration and deceleration so that tipping over of the system is prevented.    In case the acceleration / deceleration threshold is exceeded, the system shall stop all motorized movements.   ãNote: Safety architecture C + P, see <XREF>561860</XREF> and <XREF>543971</XREF>.   For design constraints for single fault safety, see <XREF>578311</XREF>.   
93;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.8;563679;Cause;System does not move according to control parameters: System accelerates hazardously (e. g. max. possible by design);4.12.1.1.8.2;563681;Measure;Limit system centrifugal acceleration;The system shall limit the maximum permissible centrifugal acceleration so that tipping over of the system is prevented.   ãNote: Safety architecture C + P, see <XREF>561860</XREF> and <XREF>543971</XREF>.   For design constraints for single fault safety, see <XREF>578311</XREF>.   
94;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.8;563679;Cause;System does not move according to control parameters: System accelerates hazardously (e. g. max. possible by design);4.12.1.1.8.3;563682;Measure;Reference - Plausibility check for sensors in movement control elements;<XREF>563673</XREF>
84;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.6;563636;Cause;User does not pay attention to obstacles in the movement path during movement (intended): User reaction, uncontrolled speed, etc;4.12.1.1.6.1;563638;Measure;Reference - Set speed values;The system sets the movement speeds according to different modes and control, see <XREF>569146</XREF>, and in order to meet the overtravel limits <XREF>562465</XREF>ãand to not exceed the speed limits <XREF>563486</XREF> in normal conditions.   
95;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.9;571877;Cause;System does not move according to control parameters: System accelerates hazardously, sleeping or unexpected error in P path;4.12.1.1.9.1;571878;Measure;Reference - Self-test of protection module hardware;<XREF>571864</XREF>
97;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.9;571877;Cause;System does not move according to control parameters: System accelerates hazardously, sleeping or unexpected error in P path;4.12.1.1.9.3;571879;Measure;Reference - Self-test of the protective position sensors;<XREF>571870</XREF>
98;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.9;571877;Cause;System does not move according to control parameters: System accelerates hazardously, sleeping or unexpected error in P path;4.12.1.1.9.4;571880;Measure;Reference - Mounting of protective position sensors;<XREF>571870</XREF>
100;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.10;580816;Cause;System does not move according to control parameters: During quickstop, the system violates trajectory trueness;4.12.1.1.10.1;596883;Measure;Reference - Maximum overtravel values;<XREF>562465</XREF>
101;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.11;563720;Cause;Collision sensor is active, operator moves further into collision by mistake;4.12.1.1.11.1;563719;Measure;Behaviour in collision;"When the operator wants to move the system out of a collision (all movements have been stopped), the system shall behave as follows:Movements shall only be possible with reduced speed, after new activation of movement.   Â The reduced speed is maintained as long as the movement is activated (and not as long as collision sensor is activated, no ""automatic"" acceleration).    When the movement is stopped, and re-initiated and the collision state has been removed, the subsequent movement shall be performed normally again.   Â In case additional collision sensorÂ are activated, the system shall also behave as described above (stop, reduced speed after new movement activation, check real system position changes).   Â Note: Safety architecture C + P, see <XREF>561860</XREF> and <XREF>543971</XREF>.   For design constraints for single fault safety, see <XREF>578311</XREF>.   "
102;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.11;563720;Cause;Collision sensor is active, operator moves further into collision by mistake;4.12.1.1.11.2;563722;Measure;Torque limits mecanum;The system shall restrict the torque of the mecanum drives when collision detection is active.    If a torque exceeding the limit is detected, the mecanum drives shall stop.   Â Note: Safety architecture C + P, see <XREF>561860</XREF> and <XREF>543971</XREF>.   
103;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.11;563720;Cause;Collision sensor is active, operator moves further into collision by mistake;4.12.1.1.11.3;563723;Measure;Reference - Warning - General risk of collisions;<XREF>563493</XREF>
104;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.11;563720;Cause;Collision sensor is active, operator moves further into collision by mistake;4.12.1.1.11.4;576754;Measure;Reference - Override angular / orbital brakes manually;The orbital and angular axles can be overriden manually, see <XREF>562449</XREF>.    Thus, the system may be able to retract, depending on the initial axle positions.   
105;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.12;571893;Cause;Collision sensor is active, behaviour in collision is incorrect due to sleeping or unexpected error of P path;4.12.1.1.12.1;571894;Measure;Reference - Self-test of protection module hardware;<XREF>571864</XREF>
106;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.12;571893;Cause;Collision sensor is active, behaviour in collision is incorrect due to sleeping or unexpected error of P path;4.12.1.1.12.2;578167;Measure;Reference - Safe power supply of protection module hardware;<XREF>578161</XREF>
107;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.12;571893;Cause;Collision sensor is active, behaviour in collision is incorrect due to sleeping or unexpected error of P path;4.12.1.1.12.3;571895;Measure;Reference - Self-test of the protective position sensors;<XREF>571870</XREF>
96;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.9;571877;Cause;System does not move according to control parameters: System accelerates hazardously, sleeping or unexpected error in P path;4.12.1.1.9.2;578166;Measure;Reference - Safe power supply of protection module hardware;<XREF>578161</XREF>
108;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.12;571893;Cause;Collision sensor is active, behaviour in collision is incorrect due to sleeping or unexpected error of P path;4.12.1.1.12.4;571896;Measure;Reference - Mounting of protective position sensors;<XREF>571870</XREF>
83;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.5;563622;Cause;User does not pay attention to feet in the movement path during movement (intended): System drives over toes;4.12.1.1.5.2;599924;Measure;Reference - warning label risk of crushing foot;<XREF>562271</XREF>
81;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.4;563645;Cause;Unintentional activation of movement due to technical failure (without the operator's request / approval);4.12.1.1.4.2;578359;Measure;Reference - EMC compliance - emissions and immunity and pass / fail criteria;<XREF>562015</XREF>
162;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.3;563632;Hazard;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);4.12.1.3.3;563671;Cause;System moves in wrong direction due to technical error (intentional movement): force handles;4.12.1.3.3.2;563673;Measure;Plausibility check for sensors in movement control elements;The system shall permanently check the plausibility of analogue sensor outputs for movement control of the force handle sensors and the hand controlÂ joystick during movement activation.    When a significant implausible deviation is detected, movement initiated from this control location shall be stopped andÂ inhibited and an error message shall be shown as long as the malfunction is present.   
60;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.1;562462;Cause;Unintentional activation of control elements by the operator (lean over, hang something over control elements, falling parts );4.12.1.1.1.1;563485;Measure;Reference - Control elements protected against unintended movement activation;<XREF>562378</XREF>
61;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.1;562462;Cause;Unintentional activation of control elements by the operator (lean over, hang something over control elements, falling parts );4.12.1.1.1.2;578331;Measure;Reference - Set speed values;The system sets the movement speeds according to different modes and control, see <XREF>569146</XREF>, and in order to meet the overtravel limits <XREF>562465</XREF>ãand to not exceed the speed limits <XREF>563486</XREF> in normal conditions.   
62;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.1;562462;Cause;Unintentional activation of control elements by the operator (lean over, hang something over control elements, falling parts );4.12.1.1.1.3;578316;Measure;Reference - Maximum overtravel values;<XREF>562465</XREF>
63;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.1;562462;Cause;Unintentional activation of control elements by the operator (lean over, hang something over control elements, falling parts );4.12.1.1.1.4;578332;Measure;Reference - System speed limits;<XREF>563486</XREF>
64;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.1;562462;Cause;Unintentional activation of control elements by the operator (lean over, hang something over control elements, falling parts );4.12.1.1.1.5;563488;Measure;Prerequisites for fast drive mode;Prerequisites for fast drive mode: Vertical axle shall be in the max.    downwards position and the C-arm in the upright position (orbital/angular = 0Â° +/- 5Â° tolerance).    The correct position shall be detected single fault safe.    The trolley-chassis cable shall be disconnected fromÂ the main unit.   Note: Safety architecture C + P, see <XREF>561860</XREF> and <XREF>543971</XREF>.   For design constraints for single fault safety, see <XREF>578311</XREF>.   
65;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.1;562462;Cause;Unintentional activation of control elements by the operator (lean over, hang something over control elements, falling parts );4.12.1.1.1.6;578291;Measure;Reference - Collision detection;<XREF>563490</XREF>
66;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.1;562462;Cause;Unintentional activation of control elements by the operator (lean over, hang something over control elements, falling parts );4.12.1.1.1.7;578358;Measure;Reference - Collision detection at rear side of the chassis and FD;<XREF>563491</XREF>
67;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.1;562462;Cause;Unintentional activation of control elements by the operator (lean over, hang something over control elements, falling parts );4.12.1.1.1.8;571916;Measure;Collision detection via position change of other axles;Position changes of motorized axles which are not used for motorized movements shall be detected (although the brakes of orb.    and ang.    axles e.g. are activated each during other motorized movements, they can be overridden manually).   In case a non-expected position change of more than +/- 5Â°Â is detected, all motorized movements shall stop.   Hint: The system may be configured to stop at even lower thresholds < 5Â°.   
68;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.1;562462;Cause;Unintentional activation of control elements by the operator (lean over, hang something over control elements, falling parts );4.12.1.1.1.9;563493;Measure;Warning - General risk of collisions;WARNINGCause: System movements.   Risk: Risk of collision, risk of injury to patient or operator, risk of damage to the system or other equipment.   Remedy: Ensure that movements are released only if neither the operator, the patient, other persons or other equipment cannot be endangered.   Always pay attention to possible collisions during movements.   Make sure that nobody is standing inside the danger area.   Ensure that collision sensors of the system are not covered by any accessories e.g. , drape fixtures,Â  which would unintentionally activate or prevent activation of the collision detection system.   Remove any objects from collision area, e.g.  injector or infusion stand.   Body penetrating objects introduced in the patient (e.g.  catheter, biopsy / kyphoplasty needle) must not be actuated by system movements.   Special care is required when the system has already detected a collision situation.   Use the emergency stop if required.   
82;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.5;563622;Cause;User does not pay attention to feet in the movement path during movement (intended): System drives over toes;4.12.1.1.5.1;563625;Measure;Mechanical safety - allowed gaps mecanum;The gaps between the floor and chassis cover around the mecanum wheels shall be < 35 mm according to IEC 60601-1 table 20 (adult foot).    In addition to that, all areas of possible crushing between the covers and the floor shall be covered by <XREF>563490</XREF>.   
69;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.1;562462;Cause;Unintentional activation of control elements by the operator (lean over, hang something over control elements, falling parts );4.12.1.1.1.10;563494;Measure;Reference - Continuous activation of movements with redundant paths;<XREF>562377</XREF>
71;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.2;571868;Cause;Speed limits are exceeded due to sleeping or unexpected error in P path;4.12.1.1.2.1;571869;Measure;Reference - Self-test of protection module hardware;<XREF>571864</XREF>
72;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.2;571868;Cause;Speed limits are exceeded due to sleeping or unexpected error in P path;4.12.1.1.2.2;571870;Measure;Positioning validity of motorized axes;DuringÂ every movement in orbital or in angular direction, a comparisonÂ between their protectiveÂ position sensorsÂ and their position sensors used by the control systemÂ shall be executed.    When an error is detected, motorized movements of the affected axle shall be inhibited.   Â Note1: This replaces a regular self-test at startup.    This is also required since the protective position sensorsÂ do not provide safe positions according to SIL2 or higher.   Â Note2:TheÂ movement stop affects all system drives.    Movements from the not affectedÂ drive can be initiated directly again.   
73;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.2;571868;Cause;Speed limits are exceeded due to sleeping or unexpected error in P path;4.12.1.1.2.3;578163;Measure;Independent power supply of protective position sensors;The protective position sensors (orbital, angular and for mecanum wheels) shall have an independent power supply from the other position sensors.   Â Hint: The power supply for one position sensor shall be provided by the c-path, the power supply of the other position sensor shall be provided by p-path.   
74;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.2;571868;Cause;Speed limits are exceeded due to sleeping or unexpected error in P path;4.12.1.1.2.4;578164;Measure;Reference - Safe power supply of protection module hardware;<XREF>578161</XREF>
75;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.2;571868;Cause;Speed limits are exceeded due to sleeping or unexpected error in P path;4.12.1.1.2.5;595374;Measure;Reference - Prevent incorrect movement execution - mecanum;<XREF>563729</XREF>
76;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.3;571872;Cause;Collision detection fails due to sleeping error in P path;4.12.1.1.3.1;571874;Measure;Reference - Self-test of protection module hardware;<XREF>571864</XREF>
77;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.3;571872;Cause;Collision detection fails due to sleeping error in P path;4.12.1.1.3.2;571873;Measure;Self-test of the collision sensors;The functionality of the collision sensors shall be tested at startup and continuously during operation (no connection).   Â When an error in the collision detection system is detected, the system shall stop all motorized movements and show an error message to the operator.    SubsequentÂ movements are allowed withÂ collision mode speed.    For detailed behaviour, seeÂ collision detectionÂ requirements <XREF>563490</XREF> and <XREF>563719</XREF>.   
78;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.3;571872;Cause;Collision detection fails due to sleeping error in P path;4.12.1.1.3.3;571876;Measure;Reliable design of collision sensors;TheÂ collision sensorsÂ shall be designed reliably for an expected service life of 10 years (e.g. for an electro-mechanical switch e.g. 100.   000 switching cycles).   
79;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.3;571872;Cause;Collision detection fails due to sleeping error in P path;4.12.1.1.3.4;563492;Measure;Warning - Check collision sensors;WARNINGCause: Undetected failure of the collision sensors.   Risk: Risk of collision, risk of injury to patient or operator, risk of damage to the system or other equipment.   Remedy: Perform a daily check of the collision sensors at the chassis and the C-arm according to the steps below.    Check that the collision sensors are functioning and verify that if a collision has been detected all motorized movements are stopped immediately.    Messages must be displayed.   
80;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.4;563645;Cause;Unintentional activation of movement due to technical failure (without the operator's request / approval);4.12.1.1.4.1;563646;Measure;Reference - Continuous activation of movements with redundant paths;<XREF>562377</XREF>
70;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.1;562462;Cause;Unintentional activation of control elements by the operator (lean over, hang something over control elements, falling parts );4.12.1.1.1.11;563495;Measure;Reference - Emergency stop at every point of motorized movement activation;<XREF>562345</XREF>
109;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.12;571893;Cause;Collision sensor is active, behaviour in collision is incorrect due to sleeping or unexpected error of P path;4.12.1.1.12.5;578168;Measure;Reference - Safe power supply of protective position sensors;<XREF>578163</XREF>
99;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.9;571877;Cause;System does not move according to control parameters: System accelerates hazardously, sleeping or unexpected error in P path;4.12.1.1.9.5;578165;Measure;Reference - Safe power supply of protective position sensors;<XREF>578163</XREF>
111;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.1;562459;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.1.1.13;571881;Cause;Collision sensor is active, operator moves further into collision by technical error (e. g. joystick deflection sensor);4.12.1.1.13.2;571883;Measure;Reference - Torque limits mecanum;<XREF>563722</XREF>
138;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.2;563725;Hazard;Crushing by or collision with falling or tipping objects with high potential energy and / or contact force / pressure (HS_051);4.12.1.2.4;563733;Cause;System tips over during movement or during braking: Additional weight is mounted at the C-arm;4.12.1.2.4.2;563735;Measure;Warning - Weight limit for additionally mounted components;WARNINGCause: Additional components are attached to the C-arm.   Possible consequences: System movements behave differently, C-arm may be counterbalanced, risk of crushing or tipping over is increased.   Remedy: Only mount approved components to the C-arm.    The max.    additional weight is max.   Â 2 kg.    Ensure that the floor is free of obstacles and is not slippery.   
139;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.2;563725;Hazard;Crushing by or collision with falling or tipping objects with high potential energy and / or contact force / pressure (HS_051);4.12.1.2.4;563733;Cause;System tips over during movement or during braking: Additional weight is mounted at the C-arm;4.12.1.2.4.3;563770;Measure;Reference - Prevent tip over by mechanical design;<XREF>563730</XREF>
141;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.2;563725;Hazard;Crushing by or collision with falling or tipping objects with high potential energy and / or contact force / pressure (HS_051);4.12.1.2.4;563733;Cause;System tips over during movement or during braking: Additional weight is mounted at the C-arm;4.12.1.2.4.5;596712;Measure;Warning - Service instruction for inclined surfaces;Warning - Service Instruction for inclined surfacesÂ WARNINGCause: ãããããããã System is moved on a steep ramp, over a step or uneven ground.   Possible consequences: ããSystem movements behave differently.    The C-arm may be counterbalanced or collide with the floor.    Risk of crushing or tipping over is increased.   Remedy: ããããããããThe system is designed for steps of max.    2 cm and ramps of max.    7Â°.    Note, when the system is in transport position ramp pitches of max.    5Â° are possible.    If moving on steeper ramps the lifting column of the C-arm needs to be raised enough to avoid collision with the floor and the system must be moved with care.    Do not raise the lifting column unnecessarily high because the risk of tipping over is increased.   
